"-0x2ov-qcCopv32Imm-TYg"	[[123, 2], [825, 1], [836, 1], [845, 1], [857, 1], [858, 1], [866, 1], [989, 1], [1006, 1], [1025, 1], [1040, 1], [1073, 2], [1098, 1], [1172, 1], [1210, 1], [1216, 1], [1226, 1], [1330, 1], [1392, 1], [1600, 1], [1601, 1], [1626, 1], [1641, 1], [1655, 1], [1664, 1], [1666, 2], [1668, 1], [1672, 1], [1673, 1], [1674, 3], [1675, 1], [1676, 1], [1677, 1], [1684, 1], [1685, 1], [1686, 1], [1688, 1], [1690, 1], [1691, 1], [1693, 1], [1695, 1], [1696, 1], [1697, 1], [1699, 1], [1700, 1], [1701, 1], [1702, 1], [1704, 2], [1706, 1], [1711, 1], [1713, 1], [1714, 2], [1715, 1], [1718, 1], [1719, 1], [1722, 1], [1723, 1], [1727, 1], [1728, 1], [1729, 1]]
"-AIBX87wou-J2PPyr2y-rw"	[[849, 1], [858, 1], [923, 1], [979, 1], [1035, 1], [1073, 1], [1081, 1], [1122, 1], [1216, 1], [1334, 1], [1503, 1], [2099, 1], [2292, 1], [3362, 2], [3374, 1], [5401, 1], [5427, 1], [7082, 3], [7182, 1]]
"-KEam7270hiQQK__Vblj-g"	[[118, 1], [307, 1], [629, 2], [631, 1], [857, 2], [890, 1], [918, 1], [925, 1], [928, 1], [955, 1], [971, 2], [986, 1], [1002, 1], [1004, 1], [1006, 1], [1063, 2], [1100, 1], [1107, 1], [1125, 4], [1141, 3], [1158, 1], [1159, 1], [1178, 1], [1207, 1], [1222, 1], [1285, 1], [1408, 1], [1563, 1], [1720, 1], [1931, 1], [2049, 1], [2275, 1], [2342, 2], [2343, 1], [2508, 2], [2540, 1], [2639, 1], [3478, 1], [4006, 1], [4123, 2], [4234, 2], [4431, 2], [4555, 1], [6515, 3], [6692, 1], [10184, 1], [15150, 1], [16536, 1], [21469, 1], [23604, 1], [23682, 1]]
"-RCD8F7qbsLfzT3k1HtMxg"	[[222, 1], [432, 1], [842, 1], [858, 1], [907, 1], [933, 1], [970, 2], [982, 1], [1006, 1], [1037, 1], [1073, 1], [1084, 1], [1128, 1], [1197, 1], [1246, 1], [1318, 1], [1484, 3], [1533, 1], [1593, 1], [1594, 1], [1605, 1], [1628, 4], [1644, 1], [1675, 1], [2242, 1], [2414, 1], [2417, 1], [3775, 2], [3838, 1], [4272, 1], [4480, 2], [5803, 1], [6215, 1], [6910, 1], [7413, 1], [8555, 2], [9835, 1], [9893, 1], [9995, 1], [11757, 1], [16555, 1], [20477, 1], [20487, 1], [20491, 1], [20498, 1], [20500, 1]]
"-_vQjMAn8ooClV02BExR5A"	[[923, 1], [973, 1], [983, 1], [1027, 1], [1073, 2], [1076, 1], [1106, 1], [1114, 1], [1117, 1], [1129, 1], [1134, 1], [1184, 1], [1216, 1], [1221, 1], [1290, 1], [1330, 1], [1484, 1], [1574, 1], [1628, 1], [1634, 1], [1670, 1], [1879, 1], [1913, 1], [2042, 1], [2107, 1], [2152, 1], [2350, 1], [2421, 1], [2529, 1], [2595, 1], [2788, 1], [3500, 1], [3518, 1], [3624, 1], [3786, 1], [3834, 1], [3839, 1], [4108, 1], [4424, 1], [4903, 1], [5008, 1], [6259, 1], [6630, 1], [8337, 1], [9015, 1], [10685, 1], [13276, 1], [13925, 1], [14045, 1], [14138, 1]]
"-hietrA8M58asfpyJkCyiA"	[[629, 1], [631, 1], [839, 1], [858, 1], [869, 1], [1006, 1], [1073, 1], [1220, 1], [1427, 1], [1615, 1], [1851, 1], [2047, 1], [2990, 1], [3222, 1], [4328, 1], [5222, 1]]
"-iOeI18tVuwxFHcqCe--fQ"	[[333, 1], [343, 2], [566, 2], [572, 2], [629, 2], [825, 2], [826, 1], [836, 2], [843, 1], [849, 1], [857, 2], [862, 1], [872, 1], [882, 2], [891, 1], [892, 2], [919, 1], [923, 1], [936, 1], [940, 2], [944, 2], [956, 1], [970, 1], [971, 1], [972, 1], [973, 1], [984, 1], [986, 1], [990, 1], [1002, 1], [1004, 3], [1033, 5], [1035, 2], [1048, 4], [1063, 3], [1065, 1], [1073, 4], [1088, 1], [1101, 1], [1104, 1], [1117, 3], [1124, 1], [1125, 1], [1126, 1], [1130, 2], [1155, 1], [1161, 3], [1177, 1], [1181, 1], [1188, 2], [1207, 1], [1221, 1], [1222, 1], [1245, 2], [1250, 1], [1269, 1], [1302, 1], [1310, 1], [1311, 1], [1330, 1], [1334, 1], [1345, 1], [1371, 1], [1393, 1], [1427, 1], [1429, 1], [1431, 1], [1435, 2], [1477, 1], [1483, 1], [1495, 1], [1507, 1], [1508, 1], [1512, 1], [1513, 1], [1528, 1], [1536, 1], [1552, 1], [1566, 1], [1571, 1], [1577, 1], [1591, 1], [1593, 1], [1601, 2], [1615, 4], [1620, 1], [1622, 1], [1625, 1], [1634, 1], [1653, 1], [1670, 1], [1691, 2], [1706, 3], [1712, 1], [1746, 1], [1784, 1], [1786, 1], [1811, 3], [1837, 1], [1931, 1], [1934, 1], [1969, 1], [1984, 1], [2049, 1], [2062, 1], [2107, 2], [2115, 1], [2152, 1], [2181, 1], [2240, 1], [2296, 2], [2312, 1], [2331, 1], [2343, 2], [2346, 1], [2361, 1], [2409, 1], [2421, 1], [2469, 1], [2520, 1], [2523, 1], [2559, 1], [2600, 1], [2644, 1], [2660, 1], [2694, 2], [2698, 1], [2734, 1], [2746, 1], [2774, 1], [2802, 1], [2844, 1], [2863, 1], [2877, 1], [2878, 3], [2881, 5], [2908, 1], [2913, 1], [2934, 3], [2947, 1], [2983, 1], [3037, 1], [3056, 1], [3071, 1], [3109, 1], [3126, 1], [3127, 3], [3128, 1], [3215, 1], [3234, 1], [3246, 1], [3276, 1], [3295, 1], [3317, 4], [3321, 1], [3343, 1], [3349, 1], [3351, 1], [3364, 3], [3372, 1], [3404, 1], [3434, 1], [3435, 1], [3436, 1], [3438, 1], [3442, 1], [3534, 1], [3536, 1], [3556, 1], [3559, 1], [3601, 1], [3612, 1], [3661, 1], [3678, 2], [3679, 1], [3709, 1], [3768, 1], [3779, 1], [3808, 1], [3810, 1], [3830, 1], [3863, 1], [3876, 1], [3973, 2], [4082, 1], [4096, 3], [4123, 1], [4132, 1], [4139, 1], [4174, 1], [4179, 1], [4181, 1], [4234, 1], [4314, 1], [4341, 1], [4357, 1], [4360, 1], [4361, 1], [4379, 1], [4451, 1], [4477, 7], [4486, 1], [4518, 1], [4568, 1], [4569, 1]]
"-ijJvthn69xBeTD6YAJ7wA"	[[858, 1], [928, 1], [993, 1], [1002, 1], [1006, 1], [1121, 1], [1216, 1], [1569, 1], [1697, 1], [2878, 1], [13790, 1], [13820, 1], [14145, 1], [14167, 1], [14186, 1]]
"-ozZzOwDCiK3obovH_n_Ng"	[[823, 1], [869, 1], [893, 1], [968, 1], [973, 1], [1073, 2], [1159, 2], [1189, 2], [1226, 2], [1250, 1], [1293, 2], [1382, 3], [1417, 1], [1564, 1], [2786, 1], [3264, 1], [3400, 1], [3420, 1], [4405, 1], [4897, 1], [5329, 1], [6667, 1], [9865, 1], [20507, 2], [21486, 1]]
"00y_qiDGICaNqFZqxM-DfQ"	[[629, 2], [825, 1], [850, 1], [858, 5], [864, 1], [893, 1], [907, 1], [911, 2], [935, 1], [968, 1], [971, 1], [978, 1], [1002, 1], [1032, 1], [1052, 1], [1063, 1], [1068, 1], [1073, 1], [1084, 1], [1130, 2], [1152, 1], [1155, 1], [1220, 1], [1226, 2], [1301, 1], [1340, 1], [1361, 1], [1524, 1], [1531, 1], [1537, 1], [1615, 1], [1621, 1], [1634, 1], [1996, 1], [2152, 1], [2177, 1], [2332, 1], [2421, 1], [2500, 1], [2501, 1], [2574, 1], [2626, 1], [2881, 1], [3706, 1], [3980, 1], [3986, 1], [4395, 1], [4431, 1], [4903, 1], [5008, 1], [6515, 1], [7625, 1], [10269, 1], [13815, 1], [13856, 1]]
